track,model,stem,sdr,si_sdr,case_id,model_display_name,mode,task,reference_type,duration_sec,estimate_stems
Al James - Schoolboy Facination,demucs_htdemucs_6stem,vocals,8.027215129341881,7.357907260892581,musdb_al_james_schoolboy_facination,Demucs htdemucs_6s 6-stem,6stems,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,demucs_htdemucs_6stem,drums,6.74035328593137,5.636696300165152,musdb_al_james_schoolboy_facination,Demucs htdemucs_6s 6-stem,6stems,musdb_4stem,musdb18hq_from_07_4,20.0,drums
Al James - Schoolboy Facination,demucs_htdemucs_6stem,bass,13.044167896765062,12.200685219843535,musdb_al_james_schoolboy_facination,Demucs htdemucs_6s 6-stem,6stems,musdb_4stem,musdb18hq_from_07_4,20.0,bass
Al James - Schoolboy Facination,demucs_htdemucs_6stem,other,-2.6491443352102104,-3.003596869326694,musdb_al_james_schoolboy_facination,Demucs htdemucs_6s 6-stem,6stems,musdb_4stem,musdb18hq_from_07_4,20.0,other;guitar;piano
Al James - Schoolboy Facination,demucs_htdemucs_6stem,vocals,8.027215129341881,7.357907260892581,musdb_al_james_schoolboy_facination,Demucs htdemucs_6s 6-stem,6stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,demucs_htdemucs_6stem,accompaniment,7.224188054050984,6.737452418778608,musdb_al_james_schoolboy_facination,Demucs htdemucs_6s 6-stem,6stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other;guitar;piano
Al James - Schoolboy Facination,demucs_htdemucs_ft_2stem,vocals,7.508260320082375,6.652936041860532,musdb_al_james_schoolboy_facination,Demucs htdemucs_ft 2-stem,2stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,demucs_htdemucs_ft_2stem,accompaniment,7.164254750656285,6.69145138183059,musdb_al_james_schoolboy_facination,Demucs htdemucs_ft 2-stem,2stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,accompaniment
Al James - Schoolboy Facination,demucs_htdemucs_ft_4stem,vocals,7.707253198776814,6.86762919133577,musdb_al_james_schoolboy_facination,Demucs htdemucs_ft 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,demucs_htdemucs_ft_4stem,drums,6.9822648045081,5.874698685442626,musdb_al_james_schoolboy_facination,Demucs htdemucs_ft 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,drums
Al James - Schoolboy Facination,demucs_htdemucs_ft_4stem,bass,13.574906293339613,12.657002188251056,musdb_al_james_schoolboy_facination,Demucs htdemucs_ft 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,bass
Al James - Schoolboy Facination,demucs_htdemucs_ft_4stem,other,-1.6546099407050159,-2.2408479638995003,musdb_al_james_schoolboy_facination,Demucs htdemucs_ft 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,other
Al James - Schoolboy Facination,demucs_htdemucs_ft_4stem,vocals,7.707253198776814,6.86762919133577,musdb_al_james_schoolboy_facination,Demucs htdemucs_ft 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,demucs_htdemucs_ft_4stem,accompaniment,7.1359242629175315,6.673430730560726,musdb_al_james_schoolboy_facination,Demucs htdemucs_ft 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other
Al James - Schoolboy Facination,demucs_mdx_extra_q_4stem,vocals,9.508183409018995,9.252283523225602,musdb_al_james_schoolboy_facination,Demucs mdx_extra_q 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,demucs_mdx_extra_q_4stem,drums,7.048597262576011,5.967938196641791,musdb_al_james_schoolboy_facination,Demucs mdx_extra_q 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,drums
Al James - Schoolboy Facination,demucs_mdx_extra_q_4stem,bass,14.21746218055954,13.893583267637744,musdb_al_james_schoolboy_facination,Demucs mdx_extra_q 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,bass
Al James - Schoolboy Facination,demucs_mdx_extra_q_4stem,other,0.9993373334163242,0.30552197641111806,musdb_al_james_schoolboy_facination,Demucs mdx_extra_q 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,other
Al James - Schoolboy Facination,demucs_mdx_extra_q_4stem,vocals,9.508183409018995,9.252283523225602,musdb_al_james_schoolboy_facination,Demucs mdx_extra_q 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,demucs_mdx_extra_q_4stem,accompaniment,9.650512750026156,8.577163914706707,musdb_al_james_schoolboy_facination,Demucs mdx_extra_q 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other
Al James - Schoolboy Facination,openunmix_umxhq_4stem,vocals,6.720569258919966,5.444622119223732,musdb_al_james_schoolboy_facination,Open-Unmix umxhq 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,openunmix_umxhq_4stem,drums,2.9737780235020623,2.0379344162701445,musdb_al_james_schoolboy_facination,Open-Unmix umxhq 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,drums
Al James - Schoolboy Facination,openunmix_umxhq_4stem,bass,7.940580570006088,5.281147100557046,musdb_al_james_schoolboy_facination,Open-Unmix umxhq 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,bass
Al James - Schoolboy Facination,openunmix_umxhq_4stem,other,-3.780059720044145,-4.31109872110019,musdb_al_james_schoolboy_facination,Open-Unmix umxhq 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,other
Al James - Schoolboy Facination,openunmix_umxhq_4stem,vocals,6.720569258919966,5.444622119223732,musdb_al_james_schoolboy_facination,Open-Unmix umxhq 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,openunmix_umxhq_4stem,accompaniment,5.535244735207422,5.126217411497251,musdb_al_james_schoolboy_facination,Open-Unmix umxhq 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other
Al James - Schoolboy Facination,torchaudio_hdemucs_high_musdb_plus,vocals,8.987917648243801,8.701187707690673,musdb_al_james_schoolboy_facination,Torchaudio HDemucs High MUSDB+,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,torchaudio_hdemucs_high_musdb_plus,drums,6.6409008712252735,5.744255230340843,musdb_al_james_schoolboy_facination,Torchaudio HDemucs High MUSDB+,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,drums
Al James - Schoolboy Facination,torchaudio_hdemucs_high_musdb_plus,bass,14.480476150442687,14.146144077537478,musdb_al_james_schoolboy_facination,Torchaudio HDemucs High MUSDB+,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,bass
Al James - Schoolboy Facination,torchaudio_hdemucs_high_musdb_plus,other,0.007198581798407218,-0.6511762552332244,musdb_al_james_schoolboy_facination,Torchaudio HDemucs High MUSDB+,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,other
Al James - Schoolboy Facination,torchaudio_hdemucs_high_musdb_plus,vocals,8.987917648243801,8.701187707690673,musdb_al_james_schoolboy_facination,Torchaudio HDemucs High MUSDB+,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,torchaudio_hdemucs_high_musdb_plus,accompaniment,8.988102587503398,8.059845244223657,musdb_al_james_schoolboy_facination,Torchaudio HDemucs High MUSDB+,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other
