case_id,case_display_name,family,model_id,model_display_name,mode,stem,energy_ratio,reconstruction_error,expected_absent,expected_uncertain,expected_present
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,drums,0.07433090217827905,0.0009348954049545364,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,other,0.15724391621751926,0.0009348954049545364,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,vocals,0.39560198624972376,0.0009348954049545364,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,bass,0.6446731223561194,0.18170305685517796,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,drums,0.048449595858799474,0.18170305685517796,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,other,0.15473761694250274,0.18170305685517796,False,False,False
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,vocals,0.06398040895213296,0.18170305685517796,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_ft_2stem,Demucs htdemucs_ft 2-stem,2stems,accompaniment,0.8690721481001826,0.18335713846844173,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_ft_2stem,Demucs htdemucs_ft 2-stem,2stems,vocals,0.06416503157057996,0.18335713846844173,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,bass,0.6673692460592174,0.11341147943036839,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,drums,0.07675357116200208,0.11341147943036839,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,guitar,0.042049698935798484,0.11341147943036839,True,False,False
